time,pv,load,Price
01-Jan-2016 01:00:00,0,416.231897714842,49.62
01-Jan-2016 02:00:00,0,383.031170174956,43.5
01-Jan-2016 03:00:00,0,402.674791007175,38.63
01-Jan-2016 04:00:00,0,361.933351322308,36.8
01-Jan-2016 05:00:00,0,90.3667555493173,34.5
01-Jan-2016 06:00:00,0,91.5358460696507,32.1
01-Jan-2016 07:00:00,0,225.025655626514,36
01-Jan-2016 08:00:00,158.726379264633,286.931425631937,37.54
01-Jan-2016 09:00:00,303.246542665091,288.196096603593,37.54
01-Jan-2016 10:00:00,831.682012896104,280.334536405135,35.95
01-Jan-2016 11:00:00,917.080043087718,267.946928681269,37.63
01-Jan-2016 12:00:00,999.963367718983,271.526089812494,36.8
01-Jan-2016 13:00:00,809.273456184304,291.666946838769,37.54
01-Jan-2016 14:00:00,479.005791589062,292.696206698835,34.6
01-Jan-2016 15:00:00,489.764093091798,298.007389085422,35.95
01-Jan-2016 16:00:00,202.146573843153,291.303414352972,41.18
01-Jan-2016 17:00:00,16.5269935794854,283.268801798917,46.65
01-Jan-2016 18:00:00,0,291.124235045366,57.96
01-Jan-2016 19:00:00,0,266.430712291071,61.31
01-Jan-2016 20:00:00,0,252.929837387387,60
01-Jan-2016 21:00:00,0,253.492700045171,57
01-Jan-2016 22:00:00,0,155.367997863572,55
01-Jan-2016 23:00:00,0,82.3921190476938,46.76
02-Jan-2016 00:00:00,0,84.9706127615556,43.21
02-Jan-2016 01:00:00,0,89.1336724191246,39.52
02-Jan-2016 02:00:00,0,84.1029002027616,36.29
02-Jan-2016 03:00:00,0,85.4261856819581,35.89
02-Jan-2016 04:00:00,0,84.4271521184635,35.22
02-Jan-2016 05:00:00,0,85.1438012716429,35.15
02-Jan-2016 06:00:00,0,78.7789873714475,35.89
02-Jan-2016 07:00:00,1.92282508207233,225.541749217304,38.72
02-Jan-2016 08:00:00,157.38973059048,281.853067421647,45.88
02-Jan-2016 09:00:00,318.9218592838,288.026448110221,54.51
02-Jan-2016 10:00:00,411.816061089488,289.304257990071,55
02-Jan-2016 11:00:00,541.805460863452,285.672745457801,54.61
02-Jan-2016 12:00:00,517.247122813936,289.28186057662,48.48
02-Jan-2016 13:00:00,700.816408292845,286.878801921915,45.01
02-Jan-2016 14:00:00,459.526138458858,291.138803575696,41.64
02-Jan-2016 15:00:00,282.858193596853,238.122492083906,43.72
02-Jan-2016 16:00:00,116.741509518675,210.973491196616,48.95
02-Jan-2016 17:00:00,3.99584426893787,300.228749574473,52.99
02-Jan-2016 18:00:00,0,291.847828077488,60.99
02-Jan-2016 19:00:00,0,286.681786376242,59.95
02-Jan-2016 20:00:00,0,285.038061307037,55
02-Jan-2016 21:00:00,0,284.856295064139,50.24
02-Jan-2016 22:00:00,0,154.10502882303,43.21
02-Jan-2016 23:00:00,0,77.5168352578399,40.23
03-Jan-2016 00:00:00,0,77.2032033922849,38.65
03-Jan-2016 01:00:00,0,81.2734056883134,36.48
03-Jan-2016 02:00:00,0,85.9993280036659,29.03
03-Jan-2016 03:00:00,0,76.8150269439683,26.5
03-Jan-2016 04:00:00,0,80.8547306344468,22.32
03-Jan-2016 05:00:00,0,77.0782816485703,17
03-Jan-2016 06:00:00,0,89.4070025559171,19.99
03-Jan-2016 07:00:00,30.4793999725718,218.929542610483,24.56
03-Jan-2016 08:00:00,520.217519448247,286.679267518194,30.9
03-Jan-2016 09:00:00,1177.4693738686,287.279028042513,33.46
03-Jan-2016 10:00:00,1649.3778901571,288.331229933987,36.01
03-Jan-2016 11:00:00,1898.11847332828,286.921282122502,36.77
03-Jan-2016 12:00:00,1956.0009369074,282.237567698759,35.89
03-Jan-2016 13:00:00,1878.57409137654,286.091692820646,35.89
03-Jan-2016 14:00:00,1624.35020746419,284.497391830971,29.03
03-Jan-2016 15:00:00,1156.71433851773,287.429955293639,30.1
03-Jan-2016 16:00:00,533.412127085339,284.217866664926,37.48
03-Jan-2016 17:00:00,53.9665235906417,290.994275585556,40.14
03-Jan-2016 18:00:00,0,286.877576531513,49.61
03-Jan-2016 19:00:00,0,287.169491756063,55.1
03-Jan-2016 20:00:00,0,286.39164116005,52.68
03-Jan-2016 21:00:00,0,285.036699762146,51
03-Jan-2016 22:00:00,0,159.150982264924,46.67
03-Jan-2016 23:00:00,0,82.2880970180502,40.14
04-Jan-2016 00:00:00,0,80.2935699077765,37.78
04-Jan-2016 01:00:00,0,80.9115070563858,34.97
04-Jan-2016 02:00:00,0,84.4115624294658,27.51
04-Jan-2016 03:00:00,0,78.352755743438,24.56
04-Jan-2016 04:00:00,0,79.6048324248549,24.86
04-Jan-2016 05:00:00,0,83.6495738314287,22.78
04-Jan-2016 06:00:00,0,139.859525018665,29.03
04-Jan-2016 07:00:00,29.9060168987922,288.883608696113,38.63
04-Jan-2016 08:00:00,500.604161631265,544.849895421323,47.48
04-Jan-2016 09:00:00,1151.13454289937,874.387192234102,54.89
04-Jan-2016 10:00:00,1619.97451527933,877.281223976366,54.89
04-Jan-2016 11:00:00,1883.15078829322,754.491591483176,54.46
04-Jan-2016 12:00:00,1967.19359312014,695.711656237644,48
04-Jan-2016 13:00:00,1875.63025234017,683.756815557263,44.56
04-Jan-2016 14:00:00,1609.60430988671,726.193151706808,41.26
